sno,sna,tot,dis,INDEX,Station,
61,台灣科技大學,86,590.2101634,G07,公館,0
62,南昌公園,34,268.6076789,G09,古亭,2
63,仁愛醫院,36,488.989403,BR10,忠孝復興,2
64,國家圖書館,50,399.9032464,R09,台大醫院,0
65,青年公園3號出口,38,1425.931084,BL10,龍山寺,1
66,師範大學公館校區,42,658.3671156,G06,萬隆,2
67,捷運臺大醫院(4號出口),48,194.8820571,R09,台大醫院,0
68,國興青年路口,36,1161.281132,G11,小南門,1
69,興豐公園,34,907.5935781,G06,萬隆,1
70,捷運台北101/世貿站,52,170.4378681,R03,台北101/世貿,0
71,捷運信義安和站(4號出口),30,78.12655055,R04,信義安和,2
72,新生長安路口,42,533.2689654,G15,松江南京,2
73,酒泉延平路口,32,1004.148803,R14,圓山,1
74,信義連雲街口,40,182.1849336,R07,東門,2
75,基隆光復路口,30,551.3757629,R04,信義安和,2
76,新生長春路口,36,680.1316708,O09,行天宮,2
77,民生活動中心,32,851.5963363,G18,南京三民,2
78,捷運圓山站(2號出口),52,98.73222417,R14,圓山,0
79,捷運民權西路站(3號出口),50,200.9858426,R13,民權西路,0
80,華江高中,44,951.5302559,BL10,龍山寺,1
81,捷運台電大樓站(2號出口),40,43.46038641,G08,台電大樓,2
82,捷運西門站(3號出口),60,52.41429152,G12,西門,0
83,捷運大安森林公園站,74,65.34049696,R06,大安森林公園,0
84,復華花園新城,38,692.9260736,BL10,龍山寺,2
85,信義敦化路口,46,444.9279204,R04,信義安和,2
86,民權復興路口,36,189.8809679,BR12,中山國中,2
87,捷運大安站,48,51.98488892,BR09,大安,0
88,捷運象山站,62,130.7711376,R02,象山,0
89,和平重慶路口,44,630.4080255,R08,中正紀念堂,2
90,老松國小,44,336.7683784,BL10,龍山寺,2
91,市立美術館,36,327.3182657,R14,圓山,2
92,開封西寧路口,42,445.9030573,G13,北門,2
93,吳興公車總站,56,995.8734042,R02,象山,1
94,捷運景美站,52,133.390968,G05,景美,0
95,東園國小,32,1339.358686,BL10,龍山寺,1
96,三民公園,30,1118.136613,G18,南京三民,1
97,捷運劍潭站(2號出口),52,230.5479309,R15,劍潭,0
98,羅斯福景隆街口,42,298.4578611,G06,萬隆,2
99,捷運雙連站(2號出口),42,10.84426107,R12,雙連,2
100,金山市民路口,40,438.3572366,O07,忠孝新生,2
101,華山文創園區,50,468.3761209,O07,忠孝新生,0
102,臺北市客家文化主題公園,32,288.6330123,G08,台電大樓,2
103,萬華車站,60,370.6271983,BL10,龍山寺,0
104,台北花木批發市場,38,295.2849041,G06,萬隆,2
105,峨嵋停車場,42,389.4398105,G12,西門,2
106,西園艋舺路口,44,339.371636,BL10,龍山寺,2
107,捷運小南門站(1號出口),54,173.0312725,G11,小南門,0
108,臺北孔廟,32,482.232613,R14,圓山,2
109,林安泰古厝,36,1076.742832,R14,圓山,1
110,文湖國小,44,559.5829102,BR15,劍南路,2
111,捷運忠孝復興站(2號出口),54,162.9629223,BR10,忠孝復興,0
112,捷運新北投站,48,83.41096369,R22A,新北投,0
113,仁愛逸仙路口,38,527.4011756,BL17,國父紀念館,2
114,蘭雅公園,30,1099.128592,R17,芝山,1
115,臺北轉運站,68,372.5684133,R10,台北車站,0
116,福林公園,44,493.7399206,R16,士林,2
117,捷運北投站,58,82.29811393,R22,北投,0
118,大業大同街口,36,340.0442712,R22A,新北投,2
119,捷運劍南路站(2號出口),68,88.87120869,BR15,劍南路,0
